# Interconnect transfer function for the 77 GHz automotive band.
# PROVENANCE: magnitude resampled from the Tessera collaborator's HFSS
#   S-parameter export 'Case1' (dB(S(Port_Top_11_11,Port_Bot_11_11)) [],
#   0.1-100 GHz, 31 pts).
#   Phase is a MINIMUM-PHASE reconstruction from |S21| (Hilbert transform of
#   ln|H|); the source export carries magnitude only. No collaborator source
#   code is reproduced here or anywhere in this repository -- this file is data.
# In-band 75-81 GHz: -0.292 to -0.289 dB.
# derived 2026-08-18 by the e2e maintainers from the authors' raw HFSS export
#   (interpolation + minimum-phase reconstruction; see README.md). The derivation
#   script is not distributed here -- ask the maintainers.
# ATTRIBUTION: the interconnect itself was simulated by Mohamed Gharib and
#   Prof. Inna Partin-Vaisband (University of Illinois Chicago). The simulation
#   code is NOT distributed with this repository and is available on request to
#   those authors. This file is their simulation's output, not a measurement.
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg
8.470000e+10,0.966782882,-0.000135416,-0.293421,-0.008025
8.475000e+10,0.966780161,-0.000136615,-0.293445,-0.008096
8.480000e+10,0.966777441,-0.000130459,-0.293470,-0.007732
8.485000e+10,0.966774720,-0.000131633,-0.293494,-0.007801
8.490000e+10,0.966772001,-0.000125342,-0.293519,-0.007428
8.495000e+10,0.966769280,-0.000126490,-0.293543,-0.007496
8.500000e+10,0.966766560,-0.000120060,-0.293568,-0.007115
8.505000e+10,0.966763840,-0.000121182,-0.293592,-0.007182
8.510000e+10,0.966761120,-0.000114606,-0.293616,-0.006792
8.515000e+10,0.966758399,-0.000115704,-0.293641,-0.006857
8.520000e+10,0.966755680,-0.000108977,-0.293665,-0.006459
8.525000e+10,0.966752959,-0.000110050,-0.293690,-0.006522
8.530000e+10,0.966750239,-0.000103167,-0.293714,-0.006114
8.535000e+10,0.966747519,-0.000104215,-0.293739,-0.006176
8.540000e+10,0.966744799,-0.000097168,-0.293763,-0.005759
8.545000e+10,0.966742079,-0.000098192,-0.293788,-0.005820
8.550000e+10,0.966739359,-0.000090976,-0.293812,-0.005392
8.555000e+10,0.966736638,-0.000091975,-0.293836,-0.005451
8.560000e+10,0.966733919,-0.000084581,-0.293861,-0.005013
8.565000e+10,0.966731198,-0.000085556,-0.293885,-0.005071
8.570000e+10,0.966728478,-0.000077978,-0.293910,-0.004622
8.575000e+10,0.966725758,-0.000078929,-0.293934,-0.004678
8.580000e+10,0.966723038,-0.000071158,-0.293959,-0.004217
8.585000e+10,0.966720318,-0.000072086,-0.293983,-0.004272
8.590000e+10,0.966717598,-0.000064113,-0.294007,-0.003800
8.595000e+10,0.966714878,-0.000065016,-0.294032,-0.003853
8.600000e+10,0.966712158,-0.000056832,-0.294056,-0.003368
8.605000e+10,0.966709437,-0.000057713,-0.294081,-0.003421
8.610000e+10,0.966706717,-0.000049307,-0.294105,-0.002922
8.615000e+10,0.966703997,-0.000050165,-0.294130,-0.002973
8.620000e+10,0.966701277,-0.000041526,-0.294154,-0.002461
8.625000e+10,0.966698557,-0.000042362,-0.294179,-0.002511
8.630000e+10,0.966695837,-0.000033479,-0.294203,-0.001984
8.635000e+10,0.966693117,-0.000034292,-0.294227,-0.002032
8.640000e+10,0.966690397,-0.000025153,-0.294252,-0.001491
8.645000e+10,0.966687676,-0.000025945,-0.294276,-0.001538
8.650000e+10,0.966684956,-0.000016536,-0.294301,-0.000980
8.655000e+10,0.966682236,-0.000017308,-0.294325,-0.001026
8.660000e+10,0.966679516,-0.000007616,-0.294350,-0.000451
8.665000e+10,0.966676796,-0.000008374,-0.294374,-0.000496
8.670000e+10,0.966674065,0.000001608,-0.294399,0.000095
8.675000e+10,0.966671320,0.000000870,-0.294423,0.000052
8.680000e+10,0.966668574,0.000011191,-0.294448,0.000663
8.685000e+10,0.966665829,0.000010489,-0.294473,0.000622
8.690000e+10,0.966663083,0.000021159,-0.294497,0.001254
8.695000e+10,0.966660337,0.000020485,-0.294522,0.001214
8.700000e+10,0.966657592,0.000031524,-0.294547,0.001868
8.705000e+10,0.966654846,0.000030876,-0.294571,0.001830
8.710000e+10,0.966652100,0.000042307,-0.294596,0.002508
8.715000e+10,0.966649355,0.000041685,-0.294621,0.002471
8.720000e+10,0.966646609,0.000053534,-0.294645,0.003173
8.725000e+10,0.966643863,0.000052937,-0.294670,0.003138
8.730000e+10,0.966641117,0.000065234,-0.294695,0.003867
8.735000e+10,0.966638372,0.000064662,-0.294719,0.003833
8.740000e+10,0.966635625,0.000077440,-0.294744,0.004590
8.745000e+10,0.966632880,0.000076892,-0.294769,0.004558
8.750000e+10,0.966630133,0.000090187,-0.294793,0.005346
8.755000e+10,0.966627388,0.000089663,-0.294818,0.005315
8.760000e+10,0.966624641,0.000103518,-0.294843,0.006136
8.765000e+10,0.966621896,0.000103018,-0.294867,0.006106
8.770000e+10,0.966619149,0.000117478,-0.294892,0.006963
8.775000e+10,0.966616404,0.000117002,-0.294917,0.006935
8.780000e+10,0.966613656,0.000132121,-0.294941,0.007831
8.785000e+10,0.966610911,0.000131669,-0.294966,0.007805
8.790000e+10,0.966608163,0.000147507,-0.294991,0.008743
