# Tessera TSV interconnect transfer function (single signal line, center signal + ground ring).
# geometry: radius=5um pitch=60um height=100um liner=0.5um. See README.md for provenance/caveats.
# columns: freq_hz, s21_re, s21_im, s21_abs_db, s21_phase_deg, s11_re, s11_im, s11_abs_db
freq_hz,s21_re,s21_im,s21_abs_db,s21_phase_deg,s11_re,s11_im,s11_abs_db
2.975000e+10,3.09381199e-01,-2.92942618e-01,-7.4105,-43.4367,-6.22023315e-01,-6.56928377e-01,-0.8700
3.000000e+10,3.08761033e-01,-2.88804819e-01,-7.4777,-43.0873,-6.19058270e-01,-6.61834768e-01,-0.8552
3.025000e+10,3.08136887e-01,-2.84816426e-01,-7.5432,-42.7478,-6.16125804e-01,-6.66573519e-01,-0.8411
3.050000e+10,3.07510225e-01,-2.80969047e-01,-7.6069,-42.4176,-6.13226430e-01,-6.71153635e-01,-0.8276
3.075000e+10,3.06882796e-01,-2.77256471e-01,-7.6688,-42.0966,-6.10361420e-01,-6.75581776e-01,-0.8147
3.100000e+10,3.06255652e-01,-2.73671048e-01,-7.7291,-41.7841,-6.07530683e-01,-6.79866238e-01,-0.8024
3.125000e+10,3.05630852e-01,-2.70208309e-01,-7.7879,-41.4799,-6.04735248e-01,-6.84012085e-01,-0.7905
3.150000e+10,3.05008954e-01,-2.66861291e-01,-7.8451,-41.1836,-6.01974848e-01,-6.88026796e-01,-0.7792
3.175000e+10,3.04390756e-01,-2.63623668e-01,-7.9008,-40.8949,-5.99248820e-01,-6.91917395e-01,-0.7683
3.200000e+10,3.03776491e-01,-2.60489391e-01,-7.9551,-40.6132,-5.96556861e-01,-6.95690328e-01,-0.7579
3.225000e+10,3.03167869e-01,-2.57454952e-01,-8.0081,-40.3384,-5.93898962e-01,-6.99349851e-01,-0.7479
3.250000e+10,3.02565129e-01,-2.54513449e-01,-8.0598,-40.0701,-5.91272672e-01,-7.02903887e-01,-0.7382
3.275000e+10,3.01968292e-01,-2.51661571e-01,-8.1102,-39.8080,-5.88679470e-01,-7.06355495e-01,-0.7290
3.300000e+10,3.01378378e-01,-2.48893778e-01,-8.1594,-39.5516,-5.86116373e-01,-7.09711602e-01,-0.7200
3.325000e+10,3.00795041e-01,-2.46205719e-01,-8.2075,-39.3009,-5.83583204e-01,-7.12976670e-01,-0.7114
3.350000e+10,3.00218926e-01,-2.43594034e-01,-8.2545,-39.0555,-5.81079262e-01,-7.16154616e-01,-0.7031
3.375000e+10,2.99650128e-01,-2.41053938e-01,-8.3004,-38.8150,-5.78602427e-01,-7.19251021e-01,-0.6951
3.400000e+10,2.99088493e-01,-2.38582795e-01,-8.3453,-38.5794,-5.76153302e-01,-7.22268438e-01,-0.6873
3.425000e+10,2.98534056e-01,-2.36176047e-01,-8.3893,-38.3482,-5.73729415e-01,-7.25212280e-01,-0.6798
3.450000e+10,2.97987104e-01,-2.33831707e-01,-8.4323,-38.1214,-5.71331030e-01,-7.28084661e-01,-0.6726
3.475000e+10,2.97447279e-01,-2.31545742e-01,-8.4744,-37.8987,-5.68956298e-01,-7.30890153e-01,-0.6656
3.500000e+10,2.96914846e-01,-2.29316587e-01,-8.5157,-37.6800,-5.66605614e-01,-7.33630394e-01,-0.6588
3.525000e+10,2.96389333e-01,-2.27140408e-01,-8.5561,-37.4650,-5.64277034e-01,-7.36309736e-01,-0.6522
3.550000e+10,2.95870685e-01,-2.25015329e-01,-8.5958,-37.2537,-5.61970540e-01,-7.38930140e-01,-0.6458
3.575000e+10,2.95358811e-01,-2.22939036e-01,-8.6347,-37.0458,-5.59685362e-01,-7.41494204e-01,-0.6396
3.600000e+10,2.94853240e-01,-2.20909152e-01,-8.6729,-36.8412,-5.57420983e-01,-7.44004409e-01,-0.6336
3.625000e+10,2.94353868e-01,-2.18924486e-01,-8.7104,-36.6399,-5.55177955e-01,-7.46461860e-01,-0.6277
3.650000e+10,2.93860399e-01,-2.16982384e-01,-8.7473,-36.4416,-5.52954792e-01,-7.48869621e-01,-0.6220
3.675000e+10,2.93372716e-01,-2.15081363e-01,-8.7835,-36.2464,-5.50751337e-01,-7.51229273e-01,-0.6164
3.700000e+10,2.92890128e-01,-2.13220374e-01,-8.8191,-36.0542,-5.48568808e-01,-7.53541444e-01,-0.6110
3.725000e+10,2.92412767e-01,-2.11397494e-01,-8.8541,-35.8647,-5.46405807e-01,-7.55808552e-01,-0.6058
3.750000e+10,2.91939797e-01,-2.09611369e-01,-8.8885,-35.6782,-5.44263061e-01,-7.58031628e-01,-0.6006
3.775000e+10,2.91471279e-01,-2.07860782e-01,-8.9224,-35.4943,-5.42140149e-01,-7.60212107e-01,-0.5956
3.800000e+10,2.91006553e-01,-2.06144657e-01,-8.9558,-35.3132,-5.40037811e-01,-7.62350791e-01,-0.5908
3.825000e+10,2.90545627e-01,-2.04462178e-01,-8.9887,-35.1347,-5.37956186e-01,-7.64448558e-01,-0.5860
3.850000e+10,2.90087736e-01,-2.02811632e-01,-9.0211,-34.9589,-5.35894962e-01,-7.66507102e-01,-0.5813
3.875000e+10,2.89632917e-01,-2.01192615e-01,-9.0530,-34.7857,-5.33854760e-01,-7.68526772e-01,-0.5768
3.900000e+10,2.89180707e-01,-1.99604183e-01,-9.0845,-34.6150,-5.31835964e-01,-7.70508401e-01,-0.5723
3.925000e+10,2.88730398e-01,-1.98045417e-01,-9.1155,-34.4469,-5.29839286e-01,-7.72452653e-01,-0.5680
3.950000e+10,2.88282130e-01,-1.96515374e-01,-9.1462,-34.2814,-5.27864124e-01,-7.74360761e-01,-0.5637
3.975000e+10,2.87835492e-01,-1.95013973e-01,-9.1765,-34.1184,-5.25912092e-01,-7.76232408e-01,-0.5595
4.000000e+10,2.87390011e-01,-1.93539870e-01,-9.2064,-33.9579,-5.23982669e-01,-7.78069060e-01,-0.5554
